City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Qaanaaq,77.484,-69.3632,31.55,62,10,4.16,GL,1661783869
Ponta do Sol,32.6667,-17.1,77.63,67,79,3.33,PT,1661783424
Nanortalik,60.1432,-45.2371,40.19,93,90,10.36,GL,1661783870
Port Alfred,-33.5906,26.891,55.18,88,100,8.01,ZA,1661783870
Penzance,50.1186,-5.5371,70.92,56,20,21.85,GB,1661783566
Saint-Philippe,-21.3585,55.7679,74.79,84,70,6.85,RE,1661783871
Sri Aman,1.2376,111.4621,78.85,89,100,2.3,MY,1661783871
Yulara,-25.2406,130.9889,54.55,37,0,14.43,AU,1661783622
Bluff,-46.6,168.3333,44.8,88,43,6.49,NZ,1661783873
Tuatapere,-46.1333,167.6833,42.3,92,62,3.27,NZ,1661783527
Mataura,-46.1927,168.8643,44.47,98,14,2.51,NZ,1661783841
East London,-33.0153,27.9116,58.14,88,100,18.41,ZA,1661783874
Vestmannaeyjar,63.4427,-20.2734,52.79,93,75,31.07,IS,1661783581
Ushuaia,-54.8,-68.3,42.46,81,40,2.3,AR,1661783875
Çorum Province,40.5,34.75,84.88,29,0,12.5,TR,1661783875
Berlevåg,70.8578,29.0864,46.4,71,75,23.02,NO,1661783515
Chui,-33.6971,-53.4616,52.38,55,5,6.38,UY,1661783734
Marsh Harbour,26.5412,-77.0636,85.71,69,13,19.33,BS,1661783730
Kapaa,22.0752,-159.319,77.32,85,75,13.8,US,1661783876
Rocha,-34.4833,-54.3333,53.04,54,2,5.23,UY,1661783519
Tuktoyaktuk,69.4541,-133.0374,42.8,93,100,9.22,CA,1661783877
Bud,39.447,-86.1758,82.35,83,97,10.89,US,1661783878
Rikitea,-23.1203,-134.9692,71.01,85,23,14.65,PF,1661783836
Santa Fe,-31.6333,-60.7,58.01,44,0,8.99,AR,1661783878
Brae,60.3964,-1.353,54.32,66,56,10.31,GB,1661783446
Ghanzi,-21.5667,21.7833,86.68,12,4,5.37,BW,1661783879
New Norfolk,-42.7826,147.0587,53.71,65,100,1.99,AU,1661783879
Rio Grande,-32.035,-52.0986,55.51,62,96,10.78,BR,1661783880
Longyearbyen,78.2186,15.6401,40.84,65,75,5.75,SJ,1661783880
Cherskiy,68.75,161.3,44.71,89,7,7.92,RU,1661783880
Carnarvon,-24.8667,113.6333,65.98,63,77,22.79,AU,1661783638
Avarua,-21.2078,-159.775,66.25,100,8,1.14,CK,1661783711
Lata,40.1629,-8.3327,83.07,26,8,9.71,PT,1661783290
Vaini,-21.2,-175.2,69.96,94,40,2.3,TO,1661783882
Puerto Ayora,-0.7393,-90.3518,69.76,89,79,3.0,EC,1661783843
Deputatsky,69.3,139.9,43.65,78,17,2.15,RU,1661783458
Dabakala,8.3667,-4.4333,78.46,84,90,5.53,CI,1661783883
Tautira,-17.7333,-149.15,76.95,76,41,8.75,PF,1661783883
Tasiilaq,65.6145,-37.6368,48.36,95,100,34.74,GL,1661783884
Arlit,18.7369,7.3853,98.06,27,21,4.0,NE,1661783884
Suchitlán,19.3667,-103.7167,70.59,88,75,0.0,MX,1661783885
Asău,46.4333,26.4,87.28,38,99,3.24,RO,1661783885
Butaritari,3.0707,172.7902,81.57,74,97,13.98,KI,1661783886
Hermanus,-34.4187,19.2345,57.79,53,32,22.17,ZA,1661783886
Albany,42.6001,-73.9662,82.62,76,61,3.0,US,1661783838
Cabatuan,10.8794,122.486,77.11,89,85,3.49,PH,1661783887
Wawa,9.9022,4.4192,74.7,92,100,3.27,NG,1661783887
Hilo,19.7297,-155.09,77.29,73,0,6.91,US,1661783650
Roald,62.5833,6.1333,64.17,67,20,13.8,NO,1661783888
Busselton,-33.65,115.3333,50.7,81,26,4.88,AU,1661783889
Gewanē,10.1664,40.6453,91.22,34,5,5.75,ET,1661783889
Barrow,71.2906,-156.7887,37.42,100,100,8.05,US,1661783890
Kapoeta,4.7717,33.5903,86.13,45,45,3.58,SS,1661783499
Alugan,12.2188,125.4808,81.46,79,100,4.09,PH,1661783891
Airai,-8.9266,125.4092,58.01,93,53,2.91,TL,1661783891
Saskylakh,71.9167,114.0833,46.87,86,100,11.83,RU,1661783891
Kavieng,-2.5744,150.7967,82.26,71,73,14.03,PG,1661783841
Raja,8.4596,25.678,78.4,87,44,0.47,SS,1661783892
Ngama,11.7833,17.1667,86.9,52,32,5.32,TD,1661783893
Jamestown,42.097,-79.2353,82.94,66,0,10.36,US,1661783759
Santiago del Estero,-27.7951,-64.2615,60.31,19,23,7.65,AR,1661783894
Necochea,-38.5473,-58.7368,54.63,39,0,13.51,AR,1661783895
Lavaca,28.615,-96.6261,84.29,92,87,12.53,US,1661783895
Arraial do Cabo,-22.9661,-42.0278,69.66,73,100,16.11,BR,1661783804
Ketchikan,55.3422,-131.6461,59.47,94,100,12.66,US,1661783896
Khatanga,71.9667,102.5,39.25,95,100,20.47,RU,1661783840
Wolfhagen,51.3261,9.1702,74.71,43,20,3.44,DE,1661783897
Taoudenni,22.6783,-3.9836,105.51,22,85,10.54,ML,1661783897
Sukhumi,43.0033,41.0153,80.56,73,5,4.47,GE,1661783898
Leningradskiy,69.3833,178.4167,33.94,95,85,1.95,RU,1661783898
Hobart,-42.8794,147.3294,54.05,82,100,5.75,AU,1661783844
Fort Nelson,58.8053,-122.7002,47.79,87,75,3.44,CA,1661783797
Souillac,-20.5167,57.5167,71.98,83,20,6.91,MU,1661783899
College,64.8569,-147.8028,49.8,93,100,0.0,US,1661783900
Cidreira,-30.1811,-50.2056,54.07,58,100,9.17,BR,1661783900
Luan,46.3592,6.9759,76.32,57,90,8.99,CH,1661783901
Bambous Virieux,-20.3428,57.7575,71.85,83,20,6.91,MU,1661783901
Geraldton,-28.7667,114.6,48.61,81,0,9.22,AU,1661783902
Bonthe,7.5264,-12.505,78.76,80,100,16.15,SL,1661783903
Port Elizabeth,-33.918,25.5701,55.69,86,100,17.27,ZA,1661783842
Baykit,61.67,96.37,35.44,93,98,12.48,RU,1661783903
Ribeira Grande,38.5167,-28.7,77.4,88,40,9.22,PT,1661783904
Chekhov,55.1431,37.4711,78.69,57,66,6.6,RU,1661783893
Lompoc,34.6391,-120.4579,61.79,94,100,2.3,US,1661783904
Hofn,64.2539,-15.2082,51.82,93,100,0.0,IS,1661783905
Vostok,46.4856,135.8833,51.75,96,100,3.2,RU,1661783905
Padang,-0.9492,100.3543,71.65,97,100,8.03,ID,1661783906
Los Llanos de Aridane,28.6585,-17.9182,73.15,69,40,8.05,ES,1661783906
Grand Gaube,-20.0064,57.6608,72.0,74,99,3.0,MU,1661783907
Chokurdakh,70.6333,147.9167,35.49,95,37,8.86,RU,1661783908
Mar del Plata,-38.0023,-57.5575,57.94,35,0,17.27,AR,1661783904
Kuruman,-27.4524,23.4325,73.99,7,0,10.67,ZA,1661783853
Kahului,20.8947,-156.47,77.85,77,100,9.22,US,1661783908
Grand Bank,47.0999,-55.765,69.8,78,87,16.71,CA,1661783909
Laela,-8.5667,32.05,79.39,26,71,1.72,TZ,1661783909
Bubaque,11.2833,-15.8333,78.85,82,100,16.04,GW,1661783910
Balagansk,54.0103,103.0544,51.51,71,100,7.2,RU,1661783910
Nikolskoye,59.7035,30.7861,68.88,66,29,9.89,RU,1661783911
Tabou,4.423,-7.3528,79.05,75,44,11.45,CI,1661783911
Broome,42.2506,-75.833,81.63,78,75,11.5,US,1661783911
Kuala Lipis,4.1842,102.0468,74.35,97,100,0.4,MY,1661783912
Eagle Pass,28.7091,-100.4995,81.27,80,75,9.22,US,1661783809
Vardø,70.3705,31.1107,46.38,76,75,26.46,NO,1661783913
Patāmundai,20.5667,86.5667,83.8,78,8,7.65,IN,1661783913
Kaitangata,-46.2817,169.8464,40.15,94,12,4.12,NZ,1661783914
Morondava,-20.2833,44.2833,76.21,64,3,12.73,MG,1661783914
Antalaha,-14.9003,50.2788,71.89,85,15,6.87,MG,1661783915
Jalu,29.0331,21.5482,98.96,21,0,11.01,LY,1661783915
Vila Velha,-20.3297,-40.2925,78.75,81,40,24.16,BR,1661783721
Aswān,24.0934,32.907,108.7,15,0,5.75,EG,1661783916
Alice Springs,-23.7,133.8833,53.15,50,40,5.75,AU,1661783916
West Odessa,31.8424,-102.4988,78.06,79,0,10.36,US,1661783917
Cape Town,-33.9258,18.4232,63.1,49,20,23.02,ZA,1661783917
Bethel,41.3712,-73.414,81.55,75,75,4.61,US,1661783918
Aldergrove,49.058,-122.4709,60.84,92,40,0.0,CA,1661783918
Capiíbary,-24.8,-56.0333,62.62,32,99,7.74,PY,1661783919
Katsuura,35.1333,140.3,71.62,91,97,15.32,JP,1661783919
George Town,5.4112,100.3354,82.33,87,40,6.91,MY,1661783718
Nārāyanavanam,13.4167,79.5833,80.38,73,72,5.23,IN,1661783920
Karaidel',55.8337,56.9069,67.12,62,50,4.85,RU,1661783921
Cabo San Lucas,22.8909,-109.9124,82.06,78,44,6.33,MX,1661783795
Sarlat-la-Canéda,44.889,1.2166,96.6,17,100,2.68,FR,1661783921
Lima,-12.0432,-77.0282,60.91,86,100,5.75,PE,1661783641
Kruisfontein,-34.0033,24.7314,51.89,70,100,18.54,ZA,1661783922
Rokytne,51.2796,27.214,74.3,66,83,10.54,UA,1661783923
Punta Arenas,-53.15,-70.9167,44.62,87,75,11.5,CL,1661783844
Esperance,-33.8667,121.9,49.01,72,5,6.02,AU,1661783923
Hambantota,6.1241,81.1185,82.74,78,20,5.75,LK,1661783924
Yellowknife,62.456,-114.3525,50.56,87,75,12.66,CA,1661783898
Trat,12.5,102.5,82.87,91,80,0.87,TH,1661783925
Atuona,-9.8,-139.0333,76.71,71,51,23.42,PF,1661783925
Pisco,-13.7,-76.2167,60.03,94,100,1.14,PE,1661783926
Sikeston,36.8767,-89.5879,83.91,83,0,8.05,US,1661783866
Coyhaique,-45.5752,-72.0662,36.21,80,0,4.61,CL,1661783792
Dalbandin,28.8947,64.4101,93.2,10,0,2.82,PK,1661783928
San Patricio,28.017,-97.5169,83.84,63,15,11.05,US,1661783928
Yumen,40.2833,97.2,70.83,19,43,4.43,CN,1661783929
Quatre Cocos,-20.2078,57.7625,71.71,75,80,8.01,MU,1661783929
Norman Wells,65.282,-126.8329,51.84,100,100,2.3,CA,1661783929
Egvekinot,66.3167,-179.1667,43.54,91,100,2.91,RU,1661783930
Alofi,-19.0595,-169.9187,66.09,94,75,1.14,NU,1661783930
Giohar,2.7809,45.5005,79.47,59,12,18.77,SO,1661783931
São João da Barra,-21.6403,-41.0511,68.09,72,89,21.25,BR,1661783907
Santa Isabel Rio Negro,-0.4139,-65.0192,84.18,67,96,1.36,BR,1661783931
Bengkulu,-3.8004,102.2655,75.16,95,100,10.22,ID,1661783932
Srednekolymsk,67.45,153.6833,42.42,86,0,11.9,RU,1661783932
Kamenka,51.3223,42.7678,90.63,14,99,17.67,RU,1661783933
Şırnak,37.5228,42.4594,86.5,8,0,8.34,TR,1661783934
Hasaki,35.7333,140.8333,68.4,90,100,15.23,JP,1661783934
Severo-Kuril'sk,50.6789,156.125,52.9,95,93,13.06,RU,1661783934
Kovdor,67.5662,30.4758,47.82,58,100,9.95,RU,1661783935
Avera,33.194,-82.5271,81.55,60,1,8.95,US,1661783935
Beringovskiy,63.05,179.3167,49.77,98,100,11.86,RU,1661783936
Fukuechō,32.6881,128.8419,80.78,75,97,5.03,JP,1661783936
Pangody,65.85,74.4859,49.62,47,100,8.21,RU,1661783937
Fortuna,40.5982,-124.1573,54.66,95,100,0.0,US,1661783937
Nandu,22.8525,110.8233,80.29,90,90,2.8,CN,1661783938
Inongo,-1.95,18.2667,71.96,83,100,3.0,CD,1661783938
Cap Malheureux,-19.9842,57.6142,71.47,74,51,3.0,MU,1661783939
Prince Rupert,54.3161,-130.3201,59.09,94,100,24.16,CA,1661783939
Ust'-Uda,54.1742,103.0304,51.96,72,100,6.29,RU,1661783940
Lavrentiya,65.5833,-171.0,42.37,87,100,4.25,RU,1661783940
Galle,6.0367,80.217,78.67,85,95,11.95,LK,1661783844
Saint Paul Harbor,57.79,-152.4072,47.71,93,0,6.91,US,1661783941
Bredasdorp,-34.5322,20.0403,56.23,45,22,16.28,ZA,1661783834
Saint-Augustin,51.226,-58.6502,67.08,70,100,13.42,CA,1661783941
Yendi,9.4427,-0.0099,80.89,78,65,5.1,GH,1661783942
Buchanan,5.8808,-10.0467,80.58,71,56,13.11,LR,1661783942
Brigantine,39.4101,-74.3646,85.19,76,20,1.99,US,1661783943
Coquimbo,-29.9533,-71.3436,53.33,93,100,5.75,CL,1661783943
Santa Isabel,-23.3156,-46.2214,60.51,90,100,9.93,BR,1661783944
Provideniya,64.3833,-173.3,47.46,89,100,2.82,RU,1661783944
Raudeberg,61.9875,5.1352,63.27,67,16,23.31,NO,1661783944
Lagoa,39.05,-27.9833,73.76,84,36,10.36,PT,1661783945
Labuhan,-6.8844,112.2051,78.01,76,75,11.32,ID,1661783946
São Gabriel da Cachoeira,-0.1303,-67.0892,79.11,80,98,2.91,BR,1661783946
Half Moon Bay,37.4636,-122.4286,62.37,87,100,6.91,US,1661783674
Sorong,-0.8833,131.25,78.57,86,100,3.38,ID,1661783947
Saint Anthony,45.0205,-93.218,70.83,76,0,12.66,US,1661783947
Daru,-9.0763,143.2092,78.19,93,91,10.94,PG,1661783948
Castro,-24.7911,-50.0119,54.0,65,99,10.18,BR,1661783663
Havelock,34.8791,-76.9013,81.95,92,75,5.75,US,1661783949
Paidha,2.4167,30.9855,67.57,86,71,1.05,UG,1661783949
Shitkino,56.3703,98.3543,42.01,87,91,13.8,RU,1661783950
Dikson,73.5069,80.5464,39.67,88,100,6.2,RU,1661783951
Kulhudhuffushi,6.6221,73.07,80.83,79,76,20.49,MV,1661783951
Tsimmerbude,54.675,20.1347,73.96,64,7,10.33,RU,1661783952
Celestún,20.8667,-90.4,84.11,69,22,7.61,MX,1661783952
Kodinsk,58.6881,99.1844,38.37,90,62,15.64,RU,1661783952
Mitú,1.1983,-70.1733,71.44,99,100,2.77,CO,1661783953
Beira,-19.8436,34.8389,78.89,73,0,17.27,MZ,1661783953
Fairbanks,64.8378,-147.7164,49.82,93,75,0.0,US,1661783897
Torquay,50.4638,-3.5143,77.2,69,95,8.01,GB,1661783657
Ibimirim,-8.5406,-37.6903,83.91,42,49,16.02,BR,1661783954
Aklavik,68.2191,-135.0107,43.75,83,100,7.25,CA,1661783955
Coahuayana Viejo,18.7333,-103.6833,82.29,76,46,1.14,MX,1661783956
Chimoio,-19.1164,33.4833,82.26,26,0,6.91,MZ,1661783956
Launceston,-41.45,147.1667,52.16,90,85,8.05,AU,1661783957
Lae,-6.7221,146.9847,74.73,96,100,2.3,PG,1661783957
Hualmay,-11.0964,-77.6139,63.77,74,55,7.74,PE,1661783958
Saint George,37.1041,-113.5841,77.43,46,0,5.75,US,1661783958
Tawao,4.2498,117.8871,77.13,94,90,1.99,MY,1661783959
Cururupu,-1.8283,-44.8683,89.56,47,75,6.2,BR,1661783897
Torbay,47.6666,-52.7314,71.76,70,75,28.77,CA,1661783732
Faanui,-16.4833,-151.75,78.4,68,60,11.63,PF,1661783960
Manaure,11.7751,-72.4445,85.51,64,100,5.86,CO,1661783960
Peniche,39.3558,-9.3811,80.08,82,57,10.27,PT,1661783960
Salalah,17.0151,54.0924,78.89,89,75,11.5,OM,1661783961
Jacareacanga,-6.2222,-57.7528,97.72,23,37,5.46,BR,1661783961
Nizwá,22.9333,57.5333,94.93,17,6,6.04,OM,1661783962
Zambezi,-13.5432,23.1047,91.13,12,3,7.78,ZM,1661783962
Ilulissat,69.2167,-51.1,53.62,50,75,17.27,GL,1661783963
Cuiluan,47.72,128.648,51.1,94,100,2.59,CN,1661783963
Upernavik,72.7868,-56.1549,37.13,82,24,19.62,GL,1661783964
Cockburn Town,21.4612,-71.1419,82.78,76,96,17.45,TC,1661783964
Thabazimbi,-24.5917,27.4116,88.21,15,0,5.39,ZA,1661783965
Christchurch,-43.5333,172.6333,47.91,82,4,8.05,NZ,1661783922
Aksarka,66.5606,67.7975,53.76,97,100,14.07,RU,1661783965
Price,39.5994,-110.8107,63.66,36,0,4.61,US,1661783966
Bereda,43.2686,-7.5406,88.14,41,93,8.37,ES,1661783966
Nikolayevsk-on-Amur,53.1406,140.73,52.18,88,3,4.0,RU,1661783967
Yar-Sale,66.8333,70.8333,45.16,96,100,11.32,RU,1661783967
Taganak,6.0833,118.3,80.74,73,100,11.61,PH,1661783968
Pyu,18.4833,96.4333,78.8,91,100,1.28,MM,1661783968
Deer Lake,49.1667,-57.4316,69.66,73,75,17.27,CA,1661783969
Mahébourg,-20.4081,57.7,71.89,83,20,6.91,MU,1661783969
Straumen,63.8709,11.2999,55.4,61,95,3.2,NO,1661783970
Presidente Médici,-11.1753,-61.9014,91.09,29,87,11.79,BR,1661783970
Mbaïki,3.8678,17.9892,83.52,57,47,5.46,CF,1661783970
Tutóia,-2.7619,-42.2744,86.79,55,48,10.83,BR,1661783971
Kupang,-10.1667,123.5833,76.77,85,11,11.59,ID,1661783761
Nishihara,26.1842,127.7558,84.25,84,40,3.44,JP,1661783972
Birao,10.2849,22.7882,75.9,85,100,6.29,CF,1661783973
Pangnirtung,66.1451,-65.7125,46.4,71,75,4.61,CA,1661783973
Hithadhoo,-0.6,73.0833,80.96,75,93,18.32,MV,1661783973
Yangi Marg`ilon,40.4272,71.7189,84.92,18,27,2.3,UZ,1661783974
Mount Gambier,-37.8333,140.7667,48.11,100,100,13.8,AU,1661783974
Aranyosapáti,48.206,22.2592,83.61,41,100,11.9,HU,1661783975
Bilibino,68.0546,166.4372,48.63,89,100,6.33,RU,1661783975
Narsaq,60.9167,-46.05,48.42,84,100,2.71,GL,1661783976
Fenelon Falls,44.5334,-78.7496,79.81,58,100,13.71,CA,1661783976
Dingle,10.9995,122.6711,77.36,89,100,3.69,PH,1661783976
Pinheiro Machado,-31.5783,-53.3811,45.05,77,6,6.93,BR,1661783977
Talnakh,69.4865,88.3972,40.21,92,68,6.26,RU,1661783977
Barabai,-2.5833,115.3833,73.94,96,87,2.26,ID,1661783978
Port Hedland,-20.3167,118.5667,66.25,59,5,6.91,AU,1661783978
Bandarbeyla,9.4942,50.8122,76.01,83,1,30.42,SO,1661783978
Morón,-34.6534,-58.6198,53.94,53,0,6.06,AR,1661783797
Itoman,26.1247,127.6694,84.97,84,40,2.3,JP,1661783979
Toamasina,-18.1667,49.3833,75.2,78,75,9.22,MG,1661783980
Mochudi,-24.4167,26.15,88.39,14,4,1.3,BW,1661783980
Kolondiéba,11.0882,-6.8926,79.12,81,94,5.28,ML,1661783981
Meulaboh,4.1363,96.1285,77.09,87,100,8.93,ID,1661783981
Waipawa,-41.4122,175.5153,43.03,79,65,5.06,NZ,1661783981
Roseau,15.3017,-61.3881,86.65,70,75,3.44,DM,1661783982
Nadym,65.5333,72.5167,52.36,56,100,10.04,RU,1661783982
Mossamedes,-15.1961,12.1522,67.69,76,21,9.24,AO,1661783983
Thompson,55.7435,-97.8558,53.76,94,100,12.66,CA,1661783983
Palana,59.1167,159.9667,47.82,98,100,21.88,RU,1661783984
Ciudad Valles,21.9833,-99.0167,81.25,84,100,2.77,MX,1661783984
Pinyug,60.251,47.7842,72.46,66,100,3.38,RU,1661783985
Luena,-11.7833,19.9167,89.31,14,6,8.01,AO,1661783985
Cabedelo,-6.9811,-34.8339,79.47,67,59,15.95,BR,1661783986
Tiksi,71.6872,128.8694,41.97,91,95,6.62,RU,1661783986
Kizema,61.113,44.8302,70.03,63,100,3.38,RU,1661783987
Atar,20.5169,-13.0499,101.86,26,34,11.48,MR,1661783987
Calama,-22.4667,-68.9333,61.29,11,0,11.5,CL,1661783988
Evensk,61.95,159.2333,51.35,93,100,6.91,RU,1661783988
Yatou,37.15,122.3833,67.89,93,100,5.93,CN,1661783989
